tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1176,SAN ISIDRO Nº 05,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,136,VOLKSWAGEN,806,NIVUS OUTFIT 200 TSI AT G1,1,Privado,Física,BOULOGNE SUR MER,BUENOS AIRES,Masculino,1984,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-04-01,2025-04-01,1177,LOMAS DE ZAMORA Nº 6,Buenos Aires,Nacional,2025,22,FURGON,37,RENAULT,6C,KANGOO EXPRESS 5A 1.6 SCE 114,1,Privado,Física,MONTE GRANDE,BUENOS AIRES,Masculino,1980,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1177,LOMAS DE ZAMORA Nº 6,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,130,TOYOTA,A16,YARIS S 1.5 CVT,1,Privado,Física,LOMAS DE ZAMORA,BUENOS AIRES,Masculino,1981,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1178,LA MATANZA Nº 08,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,130,TOYOTA,A16,YARIS S 1.5 CVT,1,Privado,Física,RAMOS MEJÍA,BUENOS AIRES,Femenino,1974,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-04-01,2025-04-01,1180,CAMPANA Nº 2,Buenos Aires,Nacional,2025,20,PICK-UP,53,VOLKSWAGEN,A3,AMAROK TRENDLINE TDI MT 4X2 G2,1,Privado,Física,ZÁRATE,BUENOS AIRES,Femenino,1992,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1180,CAMPANA Nº 2,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,136,VOLKSWAGEN,771,NUEVO POLO TRACK MSI MT,1,Privado,Física,CAMPANA,BUENOS AIRES,Masculino,1998,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-04-01,2025-04-01,1180,CAMPANA Nº 2,Buenos Aires,Nacional,2025,20,PICK-UP,53,VOLKSWAGEN,A3,AMAROK TRENDLINE TDI MT 4X2 G2,1,Privado,Física,ZÁRATE,BUENOS AIRES,Masculino,1990,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-04-01,2025-04-01,1180,CAMPANA Nº 2,Buenos Aires,Nacional,2025,20,PICK-UP,53,VOLKSWAGEN,A3,AMAROK TRENDLINE TDI MT 4X2 G2,1,Privado,Física,CAMPANA,BUENOS AIRES,Masculino,1992,ARGENTINA,100,06,200
INSCRIPCION INICIAL NACIONAL,2025-04-01,2025-04-01,1180,CAMPANA Nº 2,Buenos Aires,Nacional,2025,20,PICK-UP,68,TOYOTA,BN,HILUX 4X4 CS DX 2.4 TDI 6 MT,1,Privado,Física,CAMPANA,BUENOS AIRES,Masculino,1960,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1180,CAMPANA Nº 2,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,130,TOYOTA,B90,YARIS XS 1.5 CVT,1,Privado,Física,CORDOBA CAPITAL,BUENOS AIRES,Femenino,1984,ARGENTINA,100,06,200
INSCRIPCION INICIAL IMPORTADO,2025-04-01,2025-04-01,1180,CAMPANA Nº 2,Buenos Aires,Protocolo 21,2025,05,SEDAN 5 PUERTAS,024,CHEVROLET,787,ONIX 1.0T MT RS,1,Privado,Física,CAMPANA,BUENOS AIRES,Masculino,1980,ARGENTINA,100,06,200
