marca,modelo,tipo_dnrpa,tipo_sistema
CORVEN,ENERGY 125,MOTOCICLETA,Moto
CORVEN,EXPERT 150,MOTOCICLETA,Moto
CORVEN,EXPERT 80,MOTOCICLETA,Moto
CORVEN,HUNTER 150,MOTOCICLETA,Moto
CORVEN,HUNTER 150 BY CORVEN,MOTOCICLETA,Moto
CORVEN,HUNTER 160,MOTOCICLETA,Moto
CORVEN,HUNTER 200,MOTOCICLETA,Moto
CORVEN,INDIANA 256 BY CORVEN,MOTOCICLETA,Moto
CORVEN,MIRAGE 110,MOTOCICLETA,Moto
CORVEN,MIRAGE 110 BY CORVEN,MOTOCICLETA,Moto
CORVEN,TRIAX 150,MOTOCICLETA,Moto
CORVEN,TRIAX 200,MOTOCICLETA,Moto
CORVEN,TRIAX 200 MOTARD,MOTOCICLETA,Moto
CORVEN,TRIAX 250,MOTOCICLETA,Moto
CORVEN,TRIAX 250 ADVENTURE,MOTOCICLETA,Moto
CORVEN,TRIAX 250 TOURING,MOTOCICLETA,Moto
CORVEN,TXR 250 K4,MOTOCICLETA,Moto
CORVEN,TXR 250 K6,MOTOCICLETA,Moto
CORVEN,TXR 250 L,MOTOCICLETA,Moto
CORVEN,TXR 300 L,MOTOCICLETA,Moto
DA DALT,CICLOCARGA,CICLOMOTOR,Moto
DA DALT,CICLOCARGA DOBLE BANDE,CICLOMOTOR,Moto
DA DALT,DS 110,MOTOCICLETA,Moto
DAELIM,BZ1,MOTOCICLETA,Moto
DAELIM,DAYSTAR,MOTOCICLETA,Moto
DAELIM,QL 125,MOTONETA / SCOOTER,Moto
DAELIM,SZ2,MOTONETA / SCOOTER / SCOOTER,Moto
DAYAMA,DAYTONA 150,MOTOCICLETA,Moto
DUCATI,1199 PANIGALE ABS,MOTOCICLETA,Moto
DUCATI,1299 PANIGALE,MOTOCICLETA,Moto
DUCATI,1299 PANIGALE S,MOTOCICLETA,Moto
DUCATI,748,MOTOCICLETA,Moto
DUCATI,748 S,MOTOCICLETA,Moto
DUCATI,748 SPS,MOTOCICLETA,Moto
DUCATI,748R,MOTOCICLETA,Moto
DUCATI,749,MOTOCICLETA,Moto
DUCATI,749 S,MOTOCICLETA,Moto
DUCATI,899 PANIGALE,MOTOCICLETA,Moto
DUCATI,959 PANIGALE,MOTOCICLETA,Moto
DUCATI,999 S,MOTOCICLETA,Moto
DUCATI,DESERT X,MOTOCICLETA,Moto
DUCATI,DESERTX,MOTOCICLETA,Moto
DUCATI,DIAVEL,MOTOCICLETA,Moto
DUCATI,DIAVEL CARBON,MOTOCICLETA,Moto
DUCATI,DIAVEL V4,MOTOCICLETA,Moto
DUCATI,HYPERMOTARD,MOTOCICLETA,Moto
DUCATI,HYPERMOTARD 939,MOTOCICLETA,Moto
DUCATI,HYPERMOTARD 939 SP,MOTOCICLETA,Moto
DUCATI,HYPERMOTARD SP,MOTOCICLETA,Moto
DUCATI,M750,MOTOCICLETA,Moto
DUCATI,MONSTER,MOTOCICLETA,Moto
DUCATI,MONSTER 1200,MOTOCICLETA,Moto
DUCATI,MONSTER 1200 S,MOTOCICLETA,Moto
DUCATI,MONSTER 600,MOTOCICLETA,Moto
DUCATI,MONSTER 600 DARK,MOTOCICLETA,Moto
DUCATI,MONSTER 620,MOTOCICLETA,Moto
DUCATI,MONSTER 620 DARK,MOTOCICLETA,Moto
DUCATI,MONSTER 620 DARK I.E.,MOTOCICLETA,Moto
DUCATI,MONSTER 696,MOTOCICLETA,Moto
DUCATI,MONSTER 696 ABS,MOTOCICLETA,Moto
DUCATI,MONSTER 750,MOTOCICLETA,Moto
DUCATI,MONSTER 750 DARK,MOTOCICLETA,Moto
DUCATI,MONSTER 796,MOTOCICLETA,Moto
DUCATI,MONSTER 796 ABS,MOTOCICLETA,Moto
DUCATI,MONSTER 797,MOTOCICLETA,Moto
DUCATI,MONSTER 821,MOTOCICLETA,Moto
DUCATI,MONSTER 821 STEALTH,MOTOCICLETA,Moto
DUCATI,MONSTER 900,MOTOCICLETA,Moto
DUCATI,MONSTER 900 CROMO,MOTOCICLETA,Moto
DUCATI,MONSTER 900 DARK,MOTOCICLETA,Moto
DUCATI,MONSTER 900S,MOTOCICLETA,Moto
DUCATI,MONSTER 900S 4,MOTOCICLETA,Moto
DUCATI,MONSTER S2R 1000,MOTOCICLETA,Moto
DUCATI,MONSTER S4R,MOTOCICLETA,Moto
DUCATI,MONSTER S4R TESTASTRET,MOTOCICLETA,Moto
DUCATI,MONSTER S4RS TESTASTRE,MOTOCICLETA,Moto
DUCATI,MULTISTRADA,MOTOCICLETA,Moto
DUCATI,MULTISTRADA 1000 DS,MOTOCICLETA,Moto
DUCATI,MULTISTRADA 1000DS S,MOTOCICLETA,Moto
DUCATI,MULTISTRADA 1200,MOTOCICLETA,Moto
DUCATI,MULTISTRADA 1200 ABS,MOTOCICLETA,Moto
DUCATI,MULTISTRADA 1200 ENDUR,MOTOCICLETA,Moto
DUCATI,MULTISTRADA 1200 S,MOTOCICLETA,Moto
DUCATI,MULTISTRADA 1260,MOTOCICLETA,Moto
DUCATI,MULTISTRADA 1260 ENDUR,MOTOCICLETA,Moto
DUCATI,MULTISTRADA 1260 S,MOTOCICLETA,Moto
DUCATI,MULTISTRADA 950,MOTOCICLETA,Moto
DUCATI,MULTISTRADA 950 S,MOTOCICLETA,Moto
DUCATI,MULTISTRADA V2,MOTOCICLETA,Moto
DUCATI,MULTISTRADA V2 S,MOTOCICLETA,Moto
DUCATI,MULTISTRADA V2 S 896,MOTOCICLETA,Moto
DUCATI,MULTISTRADA V4,MOTOCICLETA,Moto
DUCATI,MULTISTRADA V4 S,MOTOCICLETA,Moto
DUCATI,MULTISTRADA V4 S RADAR,MOTOCICLETA,Moto
DUCATI,PANIGALE V4,MOTOCICLETA,Moto
DUCATI,PANIGALE V4 TRICOLORE,MOTOCICLETA,Moto
DUCATI,PANIGALE V4S,MOTOCICLETA,Moto
DUCATI,PAUL SMART 1000,MOTOCICLETA,Moto
DUCATI,PAUL SMART 1000 LE,MOTOCICLETA,Moto
DUCATI,SCRAMBLER 1100,MOTOCICLETA,Moto
DUCATI,SCRAMBLER 1100 SPECIAL,MOTOCICLETA,Moto
DUCATI,SCRAMBLER 1100 SPORT,MOTOCICLETA,Moto
DUCATI,SCRAMBLER 400 SIXTY 2,MOTOCICLETA,Moto
